"Package","Version"
"abind","1.4-8"
"AnnotationDbi","1.70.0"
"ape","5.8-1"
"aplot","0.2.9"
"aricode","1.0.3"
"askpass","1.2.1"
"assertthat","0.2.1"
"assorthead","1.2.0"
"backports","1.5.0"
"Banksy","1.4.0"
"base","4.5.0"
"base64enc","0.1-6"
"batchelor","1.24.0"
"beachmat","2.24.0"
"beeswarm","0.4.0"
"BH","1.90.0-1"
"biglm","0.9-3"
"Biobase","2.68.0"
"BiocFileCache","2.16.2"
"BiocGenerics","0.54.1"
"BiocIO","1.18.0"
"BiocManager","1.30.27"
"BiocNeighbors","2.2.0"
"BiocParallel","1.42.2"
"BiocSingular","1.24.0"
"BiocVersion","3.21.1"
"biomaRt","2.64.0"
"biomartr","1.0.7"
"Biostrings","2.76.0"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blob","1.3.0"
"bluster","1.18.0"
"boot","1.3-32"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.12"
"bslib","0.10.0"
"cachem","1.1.0"
"Cairo","1.7-0"
"callr","3.7.6"
"car","3.1-5"
"carData","3.0-6"
"caTools","1.18.3"
"CellChat","2.2.0"
"cellranger","1.1.0"
"checkmate","2.3.4"
"circlize","0.4.17"
"circular","0.5-2"
"class","7.3-23"
"classInt","0.4-11"
"cli","3.6.5"
"clipr","0.8.0"
"clock","0.7.4"
"clue","0.3-66"
"cluster","2.1.8.1"
"clusterProfiler","4.16.0"
"clustree","0.5.1"
"coda","0.19-4.1"
"codetools","0.2-20"
"CoGAPS","3.28.0"
"colorspace","2.1-2"
"commonmark","2.0.0"
"compiler","4.5.0"
"ComplexHeatmap","2.25.1"
"concaveman","1.2.0"
"conflicted","1.2.0"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.3"
"crayon","1.5.3"
"credentials","2.0.3"
"crosstalk","1.2.2"
"curl","7.0.0"
"data.table","1.18.2.1"
"datasets","4.5.0"
"DBI","1.2.3"
"dbplyr","2.5.1"
"dbscan","1.2.4"
"decoupleR","2.14.0"
"DelayedArray","0.34.1"
"DelayedMatrixStats","1.30.0"
"deldir","2.0-4"
"dendextend","1.19.1"
"Deriv","4.2.0"
"desc","1.4.3"
"devtools","2.4.6"
"diagram","1.6.5"
"dials","1.4.2"
"DiceDesign","1.10"
"diffobj","0.3.6"
"digest","0.6.39"
"dittoSeq","1.20.1"
"doBy","4.7.1"
"doFuture","1.2.0"
"doParallel","1.0.17"
"DOSE","4.2.0"
"dotCall64","1.2"
"downlit","0.4.5"
"downloader","0.4.1"
"dplyr","1.2.0"
"dqrng","0.4.1"
"dtplyr","1.3.2"
"e1071","1.7-17"
"easy.utils","0.1.0"
"edgeR","4.6.3"
"ellipsis","0.3.2"
"enrichplot","1.28.4"
"entropy","1.3.2"
"evaluate","1.0.5"
"fansi","1.0.7"
"farver","2.1.2"
"fastDummies","1.7.5"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fgsea","1.34.2"
"filelock","1.0.3"
"fishpond","2.14.0"
"fitdistrplus","1.2-6"
"flexmix","2.3-20"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.0"
"foreign","0.8-91"
"formatR","1.14"
"Formula","1.2-5"
"fracdiff","1.5-3"
"fs","1.6.6"
"furrr","0.3.1"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.69.0"
"future.apply","1.20.1"
"gargle","1.6.1"
"generics","0.1.4"
"GenomeInfoDb","1.44.3"
"GenomeInfoDbData","1.2.14"
"GenomicAlignments","1.44.0"
"GenomicRanges","1.60.0"
"gert","2.3.1"
"GetoptLong","1.1.0"
"ggalluvial","0.12.5"
"GGally","2.4.0"
"ggbeeswarm","0.7.3"
"ggcorrplot","0.1.4.1"
"ggforce","0.5.0"
"ggfun","0.2.0"
"ggnetwork","0.5.14"
"ggnewscale","0.5.2"
"ggpattern","1.2.1"
"ggplot2","4.0.2"
"ggplotify","0.1.3"
"ggprism","1.0.7"
"ggpubr","0.6.2"
"ggraph","2.2.2"
"ggrastr","1.0.2"
"ggrepel","0.9.6"
"ggridges","0.5.7"
"ggsci","4.2.0"
"ggsignif","0.6.4"
"ggstats","0.12.0"
"ggtangle","0.1.1"
"ggtext","0.1.2"
"ggtree","3.16.3"
"gh","1.5.0"
"gitcreds","0.1.2"
"glmpca","0.2.0"
"GlobalOptions","0.1.3"
"globals","0.19.0"
"glue","1.8.0"
"GO.db","3.21.0"
"goftest","1.2-3"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"GOSemSim","2.34.0"
"gower","1.0.2"
"GPfit","1.0-9"
"gplots","3.3.0"
"gprofiler2","0.2.4"
"graphics","4.5.0"
"graphlayouts","1.2.2"
"grDevices","4.5.0"
"grid","4.5.0"
"gridBase","0.4-7"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gridpattern","1.3.1"
"gridtext","0.1.5"
"grr","0.9.5"
"gson","0.1.0"
"gtable","0.3.6"
"gtools","3.9.5"
"h5mread","1.0.1"
"hardhat","1.4.2"
"harmony","1.2.4"
"haven","2.5.5"
"HDF5Array","1.36.0"
"hdf5r","1.3.12"
"hdf5r.Extra","0.1.0"
"here","1.0.2"
"hexbin","1.28.5"
"HighFive","3.3.0"
"highr","0.11"
"hms","1.1.4"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpuv","1.6.16"
"httr","1.4.7"
"httr2","1.2.2"
"ica","1.0-3"
"ids","1.0.1"
"igraph","2.2.1"
"infer","1.1.0"
"ini","0.3.1"
"installr","0.23.4"
"ipred","0.9-15"
"IRanges","2.42.0"
"irlba","2.3.7"
"isoband","0.3.0"
"iterators","1.0.14"
"janitor","2.2.1"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"KEGGREST","1.48.1"
"kernlab","0.9-33"
"KernSmooth","2.23-26"
"knitr","1.51"
"ks","1.15.1"
"labeling","0.4.3"
"lambda.r","1.2.4"
"later","1.4.5"
"lattice","0.22-7"
"lava","1.8.2"
"lazyeval","0.2.2"
"leidenAlg","1.1.5"
"leidenbase","0.1.36"
"lhs","1.2.0"
"lifecycle","1.0.5"
"limma","3.64.3"
"listenv","0.10.0"
"litedown","0.9"
"lme4","1.1-38"
"lmtest","0.9-40"
"locfit","1.5-9.12"
"logger","0.4.1"
"lubridate","1.9.4"
"magick","2.9.0"
"magrittr","2.0.4"
"markdown","2.0"
"MASS","7.3-65"
"MAST","1.33.0"
"Matrix","1.7-4"
"MatrixGenerics","1.20.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"mclust","6.1.2"
"mcprogress","0.1.1"
"memoise","2.0.1"
"metapod","1.16.0"
"methods","4.5.0"
"mgcv","1.9-4"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.2"
"minqa","1.2.8"
"modeldata","1.5.1"
"modelenv","0.2.0"
"modelr","0.1.11"
"modeltools","0.2-24"
"monocle3","1.3.7"
"multicool","1.0.1"
"mvtnorm","1.3-3"
"N2R","1.0.3"
"Nebulosa","1.18.0"
"network","1.19.0"
"nlme","3.1-168"
"nloptr","2.2.1"
"NMF","0.28"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"OmnipathR","3.16.2"
"openssl","2.3.4"
"openxlsx","4.2.8.1"
"org.Mm.eg.db","3.21.0"
"otel","0.2.0"
"paletteer","1.7.0"
"parallel","4.5.0"
"parallelly","1.46.1"
"parsnip","1.4.1"
"patchwork","1.3.2"
"pbapply","1.7-4"
"pbkrtest","0.5.5"
"pbmcapply","1.5.1"
"pheatmap","1.0.13"
"philentropy","0.10.0"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.2.0"
"pkgload","1.5.0"
"plogr","0.2.0"
"plotly","4.12.0"
"plyr","1.8.9"
"png","0.1-8"
"polyclip","1.10-7"
"polynom","1.4-1"
"poorman","0.2.7"
"pracma","2.4.6"
"praise","1.0.0"
"presto","1.0.0"
"prettyunits","1.2.0"
"princurve","2.1.6"
"prismatic","1.1.2"
"pROC","1.19.0.1"
"processx","3.8.6"
"prodlim","2025.04.28"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","0.18.0"
"promises","1.5.0"
"proxy","0.4-29"
"ps","1.9.1"
"pscl","1.5.9"
"purrr","1.2.1"
"qs","0.27.3"
"quadprog","1.5-8"
"quantmod","0.4.28"
"quantreg","6.1"
"qvalue","2.40.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.0"
"RANN","2.6.2"
"RApiSerialize","0.1.4"
"rappdirs","0.3.4"
"rbibutils","2.4.1"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.2.3-1"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.6.0"
"RcppHungarian","0.3"
"RcppML","0.3.7"
"RcppParallel","5.1.11-1"
"RcppPlanc","2.0.13"
"RcppProgress","0.4.2"
"RcppSpdlog","0.0.26"
"RcppTOML","0.2.3"
"RCurl","1.98-1.17"
"Rdpack","2.6.5"
"readr","2.1.6"
"readxl","1.4.5"
"recipes","1.3.1"
"reformulas","0.4.4"
"registry","0.5-1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"reprex","2.1.1"
"reshape2","1.4.5"
"ResidualMatrix","1.18.0"
"restfulr","0.0.16"
"reticulate","1.44.1"
"rhdf5","2.52.1"
"rhdf5filters","1.20.0"
"Rhdf5lib","1.30.0"
"RhpcBLASctl","0.23-42"
"Rhtslib","3.4.0"
"rjson","0.2.23"
"rlang","1.1.7"
"rmarkdown","2.30"
"rngtools","1.5.2"
"ROCR","1.0-12"
"roxygen2","7.3.3"
"rpart","4.1.24"
"rprojroot","2.1.1"
"rsample","1.3.2"
"Rsamtools","2.24.1"
"RSpectra","0.16-2"
"RSQLite","2.4.5"
"rstatix","0.7.3"
"rstudioapi","0.18.0"
"rsvd","1.0.5"
"rtracklayer","1.68.0"
"Rtsne","0.17"
"rversions","3.0.0"
"rvest","1.0.5"
"s2","1.1.9"
"S4Arrays","1.8.1"
"S4Vectors","0.46.0"
"S7","0.2.1"
"sass","0.4.10"
"ScaledMatrix","1.16.0"
"scales","1.4.0"
"scater","1.36.0"
"scattermore","1.2"
"scatterpie","0.2.6"
"sccore","1.0.6"
"scCustomize","3.2.4"
"scDblFinder","1.22.0"
"SCpubr","3.0.1"
"scran","1.36.0"
"sctransform","0.4.3"
"scuttle","1.18.0"
"selectr","0.5-1"
"sessioninfo","1.2.3"
"Seurat","5.4.0"
"SeuratData","0.2.2.9002"
"SeuratDisk","0.0.0.9021"
"SeuratObject","5.3.0"
"SeuratWrappers","0.4.0"
"sf","1.0-24"
"sfd","0.1.0"
"shape","1.4.6.1"
"shiny","1.12.1"
"SingleCellExperiment","1.30.1"
"sitmo","2.0.2"
"slam","0.1-55"
"slider","0.3.3"
"slingshot","2.16.0"
"sna","2.8"
"snakecase","0.11.1"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"sp","2.2-0"
"spam","2.11-3"
"SparseArray","1.8.1"
"SparseM","1.84-2"
